EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA)
방금 기차를 놓쳤어.,I just missed train.,たった今汽車に乗り過ごした。
서랍 안이 아니라 책상 위에 있었어요.,"They were on top of the table, not in the drawer.",引き出しの中ではなく机の上にあったんです。
나는 쉬는 시간에 주로 소설을 읽는다.,I usually read novels in my free time.,私は休み時間に主に小説を読む。
여기에 이름을 적어주세요.,"Write down your name here, please.",ここに名前を書いてください。
한국말 할 줄 아세요? ,Can you speak Korean?,韓国語できますか? 
이번 역은 종각역입니다. 내리실 문은 왼쪽입니다 ,This stop is Jonggak. The exit doors are on your left.,今度役は鍾閣駅です。 お出口は左側です 
그 사람이 내 생일에 장미 백 송이를 보냈어.,He sent 100 roses on my birthday.,その人が私の誕生日にバラ百本を送った。
예를 들어봐.,Give me an example.,例を挙げてみろ。
어제 단어 시험을 봤어. 생각했던 것보다 쉬웠어.,I took a vocabulary test yesterday. It was easier than I thought it would be.,昨日単語試験を受けたの。 思ったより易しかった。
정확한 출발 시각은 몇 시인가요?,What time is the exact departure time?,正確な出発視覚は何時でしょうか?
고기 먹으러 가자.,Let's go have some meat.,肉料理食べに行こう。
어제 산을 내려오다 발을 삐었어요.,I sprained my ankle coming down the mountain yesterday.,昨日山を下る途中で足を捻挫したんです。
그 사람은 비디오 게임 없이는 못 살아요.,He can't live without video games.,その人はビデオゲームなしには暮らせません。
가게에서 지갑을 잃어버렸어. ,I lost my wallet in the store.,店で財布をなくしてしまったの。 
팔을 움직이려 했지만 이상하게도 움직이지 않았다.,"I tried to move my arms, but strangely they didn’t move.",腕を動かそうと思ったが不思議なことに動かなかった。
곧 갈게요.,I'll be there soon.,すぐ行きますよ。
"어제 너한테 열 번도 넘게 전화했는데, 안 받더라.","I called you yesterday more than ten times, but you didn't answer.","昨日お前に十回以上電話したが, 取らなかった。"
밖에 눈이 오나요?,Is it snowing outside?,外は雪が降っていますか?
한강은 서울시를 통과하여 흐른다.,The Han River flows through the city of Seoul.,漢江はソウル市を通過する。
인터넷에서 사는 게 가게에서 사는 것보다 더 싸.,Buying online is cheaper than buying from shops.,インターネットで買うのが店で買うよりもっと安い。
하루에 열두 시간 일하고 쉴 시간도 없어요.,I work twelve hours a day and do not have time to rest.,一日に１２時間働いて休む時間もないです。
어젯밤 피자 먹는 꿈을 꾸었다.,I had a dream about eating pizza last night.,昨晩ピザ食べる夢を見た。
나는 그와 똑같은 mp3 플레이어를 샀다.,I bought the same MP3 player as his.,私は彼とまったく同じmp3 プレーヤーを買った。
사랑이 없는 결혼은 아무런 의미가 없어. ,Marriage without love doesn't mean anything.,愛のない結婚は何の意味もない。 
그 옷은 나한테 너무 작아.,The dress is too small for me.,その服は私に小さすぎる。
이 빌딩 정말 높네!,This building is really high!,このビル本当に高いね!
얼마 만에 푸른 하늘을 보는 건가요?,How long has it been since we've seen a clear sky?,いくらぶりに青い空を見るのでしょうか?
이번 주말에 시간 있어?,Are you free this weekend?,今週末に時間ある?
이번 달에 아기를 낳을 예정이에요.,I'm expecting a baby this month.,今月中に赤んぼうを生む予定です。
3월1일은 한국에서 공휴일이다.,March 1 is a national holiday in Korea.,3月1日は韓国で祝日だ。
그들은 차에 나란히 앉았다.,They sat side by side in the car.,彼らは車に並んで座った。
그는 칭찬을 받을 만하다.,He deserves a compliment.,彼は褒められる資格がある。
어떤 샴푸 쓰세요?,What brand of shampoo do you use?,どんなシャンプー使ってますか?
놀이터에서 놀자!,Let's play at the playground.,遊び場で遊ぼう!
나는 매일 아침을 먹는다.,I have breakfast everyday.,私は毎日朝食を食べる。
잠시만. 종이하고 연필 가져올게.,Hold on. I'll get some paper and a pencil.,ちょっと待って。 紙と鉛筆持って来る。
김치찌개에는 소금이 필요하다.,Salt is necessary to cook kimchi stew.,キムチチゲには塩が必要だ。
토마토는 과일입니까? 아니면 채소입니까?,Is the tomato a fruit or a vegetable?,トマトは果物ですか? それとも野菜ですか?
이분이 우리 영어 선생님이세요.,This is my English teacher.,こちらが私の英語の先生です。
우리는 밤새 춤추고 노래했다.,We sang and danced  all night long.,私たちは一晩中歌って踊った。
여기 분위기가 마음에 들어요.,I like the atmosphere here.,ここの雰囲気が気に入りました。
피아노를 잘 치신다고 들었어요. ,I heard you play the piano very well.,ピアノがお上手だと聞きました。 
여자친구와 쇼핑가는 건 정말 힘들어.,It's hard for me to go shopping with my girlfriend.,ガールフレンドとショッピング行くのは本当に疲れる。
"실례지만, 한국 호텔이 어딘지 아세요?","Excuse me, can you tell me where the Hotel Hanguk is?","失礼ですが, 韓国ホテルがどこかご存じですか?"
나를 잊지 않겠다고 약속해.,Promise you won't forget me.,私を忘れないと約束して。
혜안씨 좀 바꿔주세요.,Can I speak to Ms. Hyean?,へアンさんにちょっと換わってください。
니 칫솔을 썼더니 기분이 이상해.,I feel weird because I used your toothbrush.,お前の歯ブラシを使ったら変な気分になった。
이 방에 들어올 때는 슬리퍼를 신으세요.,Put on slippers when you come into this room.,この部屋に入って来る時はスリッパをはいてください。
어쩌다 다치셨어요?,How did you get hurt?,どの様にけがをしましたか?
제 생각은 이렇습니다.,My opinion is this.,私の考えはこうです。
라면 한 그릇 어때?,How about a bowl of ramen?,ラーメン一杯どう?
와! 너희 집에 수영장이 있다며? ,Wow! I heard you have a swimming pool at your house.,わ! 君たちの家にプールがあるって? 
"차례를 지키면, 곧 니 차례가 올 거야.","If you keep in order, it will soon be your turn.","順番を守れば, お前の番がすぐ来る。"
마실 것 좀 드릴까요?,Can I get you something to drink?,飲み物差し上げましょうか?
새 소리를 듣는 거 좋아해요.,I love to hear birds sing.,鳥の音を聞くの好きです。
저는 시골에서 자랐어요.,I grew up in the countryside.,私は田舍で育ったんです。
더 이상 못 먹겠어.,I can't eat anymore.,これ以上食べれない。
저 쓰레기 좀 버려줄래?,Could you throw out the garbage?,あのごみちょっと捨ててくれる?
몇 가지 좋은 소식이 있어요. ,I have some good news for you.,いくつか良い知らせがあります。 
니 여동생은 몇 살이니? ,How old is your younger sister?,君の妹さんは何歳なの? 
신호가 녹색으로 바뀌었어.,The lights changed to green.,信号が青に変わったの。
겨울에는 낮보다 밤이 길다.,"In the winter, night is longer than day.",冬には昼より夜が長い。
영어 교과서 10페이지를 펴세요.,Open your English textbook to page 10.,英語の教科書の10ページをあけてください。
나는 그녀의 갑작스러운 죽음에 놀랐다.,I was surprised by her sudden death.,私は彼女の急な死に驚いた。
요즘은 취직하기가 너무 힘들어. ,It's so hard to get a job these days.,このごろは就職するのがとても大変なの。 
안녕히 계세요.,Goodbye.,さようなら。
이 식당은 음식을 정말 잘 해.,They serve really nice food in that restaurant.,この食堂は料理が本当に上手なの。
한국은 늘 덥나요?,Is it always hot in Korea?,韓国は常に暑いんですか?
내 말 무슨 뜻인지 알겠어?,Do you know what I mean?,私の言ってる事の意味分かる?
"우리 애가 벌써 커서, 이 옷이 맞지 않을 정도로 커졌다.","My child has grown up, so he is too big for these clothes.","うちの子がもう成長して, この服が合わないほどに大きくなった。"
모자를 쓰고 있나요?,Is she wearing a cap?,帽子をかぶっているんですか?
불고기는 외국인들에게 인기가 있어요.,Bulgogi is popular with foreigners.,焼肉は外国人に人気があります。
집까지 태워다 줄게. ,I'll drive you home.,家まで乗せてってあげる。 
이번에 중국 처음 가는 거니? ,Is it your first trip to China?,今回中国初めて? 
그 사람은 쌀과 보리도 구별 못 한다.,He can't tell rice from barley.,その人は米と麦も区別できない。
전에 여기 있던 가게가 없어졌어.,The store that was here before is now gone.,前にここにあった店が無くなったの。
겨울이 가고 봄이 오고 있다.,Winter is gone and spring is arriving.,冬が終わり春が来ている。
저희는 아이가 하나 있습니다.,We only have one child.,私達には子供が一人います。
피곤해 보이는데 잠시 쉬지 그래?,You look tired. Why don't you rest for a while?,疲れたように見えるけどしばらく休んだら?
말하고 글 중에 어느 것이 더 중요한가요?,Which one is more important between speaking and writing?,言葉と文章のうちどちらがより重要でしょうか?
계속 코피가 나요.,My nose bleeds continuously.,ずっと鼻血が出ます。
왜 낮에는 별을 볼 수가 없지?,Why can't we see the stars during the day?,どうして昼には星が見えないんでしょう?
선생님은 학생들이 떠나자 기쁨의 눈물을 흘리셨다.,The teacher cried tears of joy after the students left.,先生は学生たちが去ると喜びの涙を流した。
닭이 먼저예요? 달걀이 먼저예요?,"Which came first, the chicken or the egg?",ニワトリが先ですか? たまごが先ですか?
이때까지 나는 여자 친구를 한 번도 사귀어 본 적이 없다.,"To this day, I have never had a girlfriend.",今まで私はガールフレンドと一回も付き合った事がない。
시간이랑 장소는 정했어?,Have you decided on the time and the place?,時間と場所は決めたの?
그 사람 정말 좋은 사람 같아요.,I think he is a really nice person.,その人本当に良い人みたいです。
큰 가방 두 개하고 작은 것 한 개요.,Two big suitcases and a small one.,大きいかばん二つと小さなの一つです。
한국 시간에 시계 맞췄어?,Did you adjust the clock to Korean time?,韓国時間に時計合わせたの?
오늘 밤 텔레비전에서 뭐 해?,What's on television tonight?,今夜テレビで何やる?
그 모임 참석할 거야?,Will you attend the meeting?,その集まり参加するつもり?
그런데 넌 뭐 하러 온 거야?,"By the way, what brings you here?",ところでお前は何をしに来たのか?
"이번에 약속 어기면, 너 다시는 안 볼 거야.","If you break your promise this time, I'll never see you again.","今度約束破れば, お前と二度と会わないから。"
슬퍼서 우는 게 아니라 기뻐서 우는 거예요.,"I am crying not because I'm sad, but because I'm happy. ",悲しくて泣いているのではなく嬉しくて泣いているんです。
그는 할 수 있는 한 멀리 공을 던졌다.,He threw the ball as far as he could.,彼はできる限り遠く球を投げた。
"그는 17살이지만, 아저씨처럼 보인다.","Even though he is seventeen, he looks like a middle-aged man. ","彼は 17才だが, 中年のおじさんのように見える。"
길을 잃으신 것 같군요.,You seem to be lost.,道に迷ったようですね。
잡지에서 우연히 본 거야.,I came across it in a magazine.,雑誌で偶然に見たのだ。
이 땅 누구 거야?,Who does this land belong to?,この土地は誰のものか?
그 은행은 저 건물 옆에 있어요.,The bank is next to the building.,その銀行はあの建物の横にあります。
손님은 왕이다.,The customer is always right.,お客さんは神様だ。
침대 옆 탁자 위에 있어요.,It is on the table next to the bed.,ベッドのそばのテーブルの上にあります。
요즘에는 핸드폰 없는 사람이 없다.,Nowadays there is no one who does not have a cell phone.,このごろには携帯電話のない人がいない。
나는 어렸을 때는 간호사가 되고 싶었어.,I wanted to be a nurse when I was younger.,私は幼い頃は看護婦になりたかったの。
스키를 가장 좋아해요.,I like skiing the most.,スキーが一番好きです。
나 여기 서점에 있어. ,"I'm over here, in the bookstore.",私ここの書店にいる。 
이 단어 뜻 알아?,Do you know this word's meaning?,この単語意味分かる?
제가 나이보다 어려보인다는 소리 많이 들어요.,I've heard many times that I look younger than my age.,私は年より幼く見えるとよく言われます。
그날 밤 너는 뭘 하고 있었어?,What were you doing that night?,その晩お前は何をしていたの?
여보세요? 혜안이 있어요?,Hello? Can I speak to Hyean?,もしもし? へアンいますか?
산은 내려오는 것이 더 어렵다.,It is more difficult to come down the mountain.,山は降りるのがもっと難しい。
책은 몇 권이나 내셨어요? ,How many books have you published?,本は何冊出しましたか? 
자장면은 정말 인기 있는 중국 음식이야. ,Jajangmyeon is a very popular Chinese dish.,チャジャン麺は本当に人気のある中華料理だ。 
박쥐들은 낮에 잠을 잔다.,Bats sleep during the day.,コウモリは昼に眠る。
안경 쓰고 있는 저 여자애 말이야?,You mean the girl who wears glasses?,めがねをかけているあの女の子?
"한국인들은 성을 앞에, 이름을 그 다음에 쓴다.",Koreans write their surname first and then their given name.,"韓国人は姓を前に, 名前をその次に書く。"
내 컴퓨터는 새 거야.,My computer is new.,私のコンピューターは新しい。
불을 끄고 라디오를 켜라.,Turn off the light and turn on the radio.,電気を消してラジオをつけなさい。
크리스마스에 뭐 갖고 싶어?,What would you like to have for Christmas?,クリスマスになんかほしい?
내 시계는 5분 늦다.,My watch is 5 minutes behind.,私の時計は 5分遅れている。
책 빌려줘서 고마워.,Thank you for lending me the book.,本貸してくれありがとう。
늦어서 5점이 깎였다.,I got five points taken off for being late.,遅刻して5点が削られた。
저를 아세요?,Do I know you?,私をご存知ですか?
예정대로 도착해?,Are you going to arrive on schedule?,予定通り到着する?
맘에 들어? 가격은 어때?,Do you like it? What's the price?,気に入った? 価格はどう?
아무도 밸런타인데이에 나한테 초콜릿을 안 줬어.,Nobody gave me chocolate on Valentine's day.,誰もバレンタインデーに僕にチョコレートをくれなかった。
누나는 엄마랑 닮았다.,My older sister looks like my mom.,姉は母と似ている。
콘서트가 시작되고 뮤지션이 연주를 시작했다.,The concert started and the musician began to play.,コンサートが始まってミュージシャンが演奏を始めた。
그들은 다양한 서비스를 제공한다.,They offer various services.,彼らは多様なサービスを提供する。
거짓말이 아니에요.,I'm not telling a lie.,嘘ではありません。
